
# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# OKKK
OKKK,15R,BOXIK,RALKA,1
OKKK,15R,BOXIK,SESRU,1
OKKK,15R,DEKOB,ALVAX,1
OKKK,15R,DEKOB,ASVIR,1
OKKK,15R,DEKOB,BOXIK,1
OKKK,15R,DEKOB,DEKOB,2
OKKK,15R,DEKOB,KATOD,1
OKKK,15R,DEKOB,NIDAP,1
OKKK,15R,DEKOB,RALKA,1
OKKK,15R,DEKOB,SESRU,1
OKKK,15R,KATOD,ALVAX,1
OKKK,15R,KATOD,ASVIR,1
OKKK,15R,KATOD,BOXIK,1
OKKK,15R,KATOD,DEKOB,1
OKKK,15R,KATOD,KATOD,2
OKKK,15R,KATOD,NIDAP,1
OKKK,15R,KATOD,RALKA,1
OKKK,15R,KATOD,SESRU,1
OKKK,15R,NIDAP,ALVAX,1
OKKK,15R,NIDAP,ASVIR,1
OKKK,15R,NIDAP,BOXIK,1
OKKK,15R,NIDAP,DEKOB,1
OKKK,15R,NIDAP,KATOD,1
OKKK,15R,NIDAP,NIDAP,2
OKKK,15R,NIDAP,RALKA,1
OKKK,15R,NIDAP,SESRU,1
OKKK,15R,RALKA,ALVAX,1
OKKK,15R,RALKA,ASVIR,1
OKKK,15R,RALKA,BOXIK,1
OKKK,15R,RALKA,DEKOB,1
OKKK,15R,RALKA,KATOD,1
OKKK,15R,RALKA,NIDAP,1
OKKK,15R,RALKA,RALKA,2
OKKK,15R,RALKA,SESRU,1
OKKK,15R,SESRU,ALVAX,1
OKKK,15R,SESRU,ASVIR,1
OKKK,15R,SESRU,BOXIK,1
OKKK,15R,SESRU,DEKOB,1
OKKK,15R,SESRU,KATOD,1
OKKK,15R,SESRU,NIDAP,1
OKKK,15R,SESRU,RALKA,1
OKKK,15R,SESRU,SESRU,2
OKKK,16,ALVAX,ALVAX,2
OKKK,16,ALVAX,ASVIR,1
OKKK,16,ALVAX,BOXIK,1
OKKK,16,ALVAX,DEKOB,1
OKKK,16,ALVAX,KATOD,1
OKKK,16,ALVAX,NIDAP,1
OKKK,16,ALVAX,RALKA,1
OKKK,16,ALVAX,SESRU,1
OKKK,16,ASVIR,ALVAX,1
OKKK,16,ASVIR,ASVIR,2
OKKK,16,ASVIR,BOXIK,1
OKKK,16,ASVIR,DEKOB,1
OKKK,16,ASVIR,KATOD,1
OKKK,16,ASVIR,NIDAP,1
OKKK,16,ASVIR,RALKA,1
OKKK,16,ASVIR,SESRU,1
OKKK,16,BOXIK,ALVAX,1
OKKK,16,BOXIK,ASVIR,1
OKKK,16,BOXIK,BOXIK,2
OKKK,16,BOXIK,DEKOB,1
OKKK,16,BOXIK,KATOD,1
OKKK,16,BOXIK,NIDAP,1
OKKK,16,BOXIK,RALKA,1
OKKK,16,BOXIK,SESRU,1
OKKK,16,DEKOB,ALVAX,1
OKKK,16,DEKOB,ASVIR,1
OKKK,16,DEKOB,BOXIK,1
OKKK,16,DEKOB,DEKOB,2
OKKK,16,DEKOB,KATOD,1
OKKK,16,DEKOB,NIDAP,1
OKKK,16,DEKOB,RALKA,1
OKKK,16,DEKOB,SESRU,1
OKKK,16,KATOD,ALVAX,1
OKKK,16,KATOD,ASVIR,1
OKKK,16,KATOD,BOXIK,1
OKKK,16,KATOD,DEKOB,1
OKKK,16,KATOD,KATOD,2
OKKK,16,KATOD,NIDAP,1
OKKK,16,KATOD,RALKA,1
OKKK,16,KATOD,SESRU,1
OKKK,16,NIDAP,ALVAX,1
OKKK,16,NIDAP,ASVIR,1
OKKK,16,NIDAP,BOXIK,1
OKKK,16,NIDAP,DEKOB,1
OKKK,16,NIDAP,KATOD,1
OKKK,16,NIDAP,NIDAP,2
OKKK,16,NIDAP,RALKA,1
OKKK,16,NIDAP,SESRU,1
OKKK,16,RALKA,ALVAX,1
OKKK,16,RALKA,ASVIR,1
OKKK,16,RALKA,BOXIK,1
OKKK,16,RALKA,DEKOB,1
OKKK,16,RALKA,KATOD,1
OKKK,16,RALKA,NIDAP,1
OKKK,16,RALKA,RALKA,2
OKKK,16,RALKA,SESRU,1
OKKK,16,SESRU,ALVAX,1
OKKK,16,SESRU,ASVIR,1
OKKK,16,SESRU,BOXIK,1
OKKK,16,SESRU,DEKOB,1
OKKK,16,SESRU,KATOD,1
OKKK,16,SESRU,NIDAP,1
OKKK,16,SESRU,RALKA,1
OKKK,16,SESRU,SESRU,2
